id,session_id,user_id,product_id,category_id,view_start,view_end,time_spent_seconds,added_to_cart
4c364f99-bab6-4013-a27b-d16730d6f46b,128309d0-5b43-40f8-ad4a-4322a5fe65f8,5580df8c-b805-4090-9fc5-a01cd1c25e23,092ad979-fc22-4faa-a645-8413e1379756,6015a68c-2e29-48bf-ba5f-a872c0c2a962,2026-05-23T20:03:26.316684+00:00,2026-05-23T20:07:11.316684+00:00,225,True
44a311e2-f3ab-4829-93cc-67b2fedf2c13,128309d0-5b43-40f8-ad4a-4322a5fe65f8,5580df8c-b805-4090-9fc5-a01cd1c25e23,832b0f76-79c9-4928-9cbe-8e6fbb91e9f5,6015a68c-2e29-48bf-ba5f-a872c0c2a962,2026-05-23T20:07:26.316684+00:00,2026-05-23T20:08:18.316684+00:00,52,False
09fe24d4-76e6-46e0-86cb-18222583a7d6,128309d0-5b43-40f8-ad4a-4322a5fe65f8,5580df8c-b805-4090-9fc5-a01cd1c25e23,f1ca7f6f-aa3b-4368-8595-cfc56d8e128a,1b32d62d-b66b-4023-b98b-e8c07310b148,2026-05-23T20:03:33.316684+00:00,2026-05-23T20:06:57.316684+00:00,204,True
e4690a58-e660-46d7-8d25-e228c8ee1444,128309d0-5b43-40f8-ad4a-4322a5fe65f8,5580df8c-b805-4090-9fc5-a01cd1c25e23,1bb6bc23-1790-4cfa-aa5c-5a200356dd5d,ca45f53b-2b23-4c38-aa7b-68d13f07927a,2026-05-23T20:07:43.316684+00:00,2026-05-23T20:10:17.316684+00:00,154,True
d4205944-a89e-4d3e-a3c7-ccf1f78f7e67,db5275d5-13a5-4388-acc7-11d427aeda99,a6d2950b-e2d1-4ef7-ab1e-3e0886a92f20,75270afd-e0ca-4863-9614-31042204dcba,889ac393-27f0-4b2d-ae9a-80a8e4331cd5,2026-06-06T23:54:51.316684+00:00,2026-06-06T23:57:40.316684+00:00,169,False
da4d82f3-e670-4982-af36-6737d8dd4e1d,949b382c-a3b5-4da1-87c2-7d2dea9e157c,a6d2950b-e2d1-4ef7-ab1e-3e0886a92f20,1bb6bc23-1790-4cfa-aa5c-5a200356dd5d,ca45f53b-2b23-4c38-aa7b-68d13f07927a,2026-05-21T06:02:51.316684+00:00,2026-05-21T06:06:48.316684+00:00,237,True
137bc440-6f81-4555-9ef0-eb7cd53b3a7c,04494b84-415f-4adc-a0de-07383a5b973b,1a6be97d-1781-4210-9628-17aebb888501,48ab4f6f-a29e-4fb6-ad70-e4172cff3f4b,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,2026-05-28T16:49:06.316684+00:00,2026-05-28T16:53:22.316684+00:00,256,True
af5be95e-08c1-4d1e-8049-9ca10423746b,04494b84-415f-4adc-a0de-07383a5b973b,1a6be97d-1781-4210-9628-17aebb888501,89487e82-e1f4-4a40-a1c6-19a76f8eaa75,889ac393-27f0-4b2d-ae9a-80a8e4331cd5,2026-05-28T16:48:45.316684+00:00,2026-05-28T16:49:19.316684+00:00,34,False
26ee71cd-2c58-401c-bef2-eeed764953e9,04494b84-415f-4adc-a0de-07383a5b973b,1a6be97d-1781-4210-9628-17aebb888501,2ae6910c-5f34-48f2-82a3-0b016f121c01,8c34c28c-cf17-4175-85aa-85244e83d737,2026-05-28T16:45:09.316684+00:00,2026-05-28T16:49:22.316684+00:00,253,False
fe8dc4df-53b9-4f08-a7ab-c49c25bb436b,04494b84-415f-4adc-a0de-07383a5b973b,1a6be97d-1781-4210-9628-17aebb888501,ef9bfb35-bb7b-472b-a64d-bc681c1f0072,1b32d62d-b66b-4023-b98b-e8c07310b148,2026-05-28T16:46:09.316684+00:00,2026-05-28T16:46:29.316684+00:00,20,False
d37a13c2-beec-404e-991c-81ac84115b3b,b3d9af1c-540c-483a-b709-930d00d9383d,1a6be97d-1781-4210-9628-17aebb888501,8bc8a7bf-fc92-4333-9ad2-d5db510f96bc,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,2026-05-21T19:56:01.316684+00:00,2026-05-21T19:57:36.316684+00:00,95,False
